label,message
ham,Please submit the assignment by tonight.
ham,Please submit the assignment by tonight.
ham,"Hey, are we still meeting today?"
spam,Free recharge available. Visit the link.
spam,Free recharge available. Visit the link.
spam,Win a brand new iPhone. Limited time offer.
ham,Did you have lunch?
spam,Congratulations! You won a free lottery. Claim now!
spam,URGENT! Your ATM card is blocked. Call now.
ham,Please submit the assignment by tonight.
ham,I'm on the way.
spam,Get free entry into a contest. Click here to win.
spam,Win a brand new iPhone. Limited time offer.
ham,Happy birthday! Have a great year ahead.
spam,You have won a free holiday trip!
spam,Special loan approved! Contact immediately.
ham,I'm on the way.
spam,Get free entry into a contest. Click here to win.
ham,Don't forget to bring your notes.
ham,Happy birthday! Have a great year ahead.
spam,URGENT! Your ATM card is blocked. Call now.
ham,I'm on the way.
spam,Free recharge available. Visit the link.
ham,Are you free this weekend?
ham,Please submit the assignment by tonight.
ham,"Hey, are we still meeting today?"
ham,Let's catch up tomorrow.
ham,Where are you right now?
spam,Win a brand new iPhone. Limited time offer.
spam,Get free entry into a contest. Click here to win.
ham,Did you have lunch?
ham,Happy birthday! Have a great year ahead.
ham,Please submit the assignment by tonight.
ham,Please submit the assignment by tonight.
spam,Congratulations! You won a free lottery. Claim now!
spam,URGENT! Your ATM card is blocked. Call now.
spam,Win a brand new iPhone. Limited time offer.
spam,Special loan approved! Contact immediately.
spam,URGENT! Your ATM card is blocked. Call now.
ham,I'm on the way.
ham,Did you have lunch?
spam,Special loan approved! Contact immediately.
ham,Happy birthday! Have a great year ahead.
ham,Let's catch up tomorrow.
spam,Get free entry into a contest. Click here to win.
spam,Win a brand new iPhone. Limited time offer.
ham,Did you have lunch?
ham,Did you have lunch?
spam,Exclusive offer! Buy 1 get 2 free.
ham,I'm on the way.
spam,URGENT! Your ATM card is blocked. Call now.
spam,Exclusive offer! Buy 1 get 2 free.
ham,Please submit the assignment by tonight.
spam,You have won a free holiday trip!
spam,Special loan approved! Contact immediately.
ham,Are you free this weekend?
spam,Congratulations! You won a free lottery. Claim now!
ham,Happy birthday! Have a great year ahead.
spam,Get free entry into a contest. Click here to win.
ham,I'm on the way.
spam,Your lucky number has been selected. Claim prize now.
ham,Where are you right now?
ham,I'll call you later.
